CNTYVTD,BidenD_20G_President,TrumpR_20G_President,JorgensenL_20G_President,HawkinsG_20G_President,Write-InW_20G_President
"0010001",357,791,13,1,2
"0010002",205,1548,14,2,0
"0010003",118,746,7,2,0
"0010004",117,1031,8,0,0
"0010005",12,203,0,0,0
"0010006",389,388,2,4,0
"0010007",462,167,3,0,0
"0010008",92,75,3,1,0
"0010009",160,737,5,0,0
"0010010",42,327,0,0,0
"0010011",202,643,8,0,1
"0010013",316,785,9,0,0
"0010015",79,578,2,1,1
"0010016",106,519,4,2,0
"0010017",127,489,5,2,0
"0010018",215,1211,11,1,0
"0010019",346,1118,15,1,1
"0010020",180,551,11,3,0
"0010021",183,1086,3,1,1
"0010022",105,640,5,0,0
"0010023",99,876,2,1,0
"0010024",43,601,4,0,0
"0030001",196,1242,13,1,0
"0030002",233,1661,28,3,0
"0030003",218,1141,12,3,0
"0030004",202,893,7,3,0
"0050001",121,162,0,0,0
"0050002",1011,351,10,6,1
"0050003",234,1047,12,4,0
"0050004",366,452,9,1,5
"0050005",468,611,14,7,2
"0050006",51,275,0,1,0
"0050007",121,909,11,1,3
"0050008a",69,508,5,0,2
"0050008b",42,339,5,0,2
"0050009",70,152,1,1,0
"0050010a",348,375,6,3,2
"0050010b",44,46,0,0,0
"0050011",160,1486,6,2,1
"0050012",100,478,7,0,1
"0050013",200,219,11,1,1
"0050014",443,892,14,2,6
"0050015",73,405,4,0,0
"0050016",561,638,14,3,1
"0050017",120,1151,4,1,1
"0050018",144,313,3,1,1
"0050019",355,700,9,5,4
"0050020",1116,210,3,4,4
"0050021",209,619,7,1,1
"0050022",86,749,5,1,1
"0050023",73,412,6,0,2
"0050024",348,1319,15,4,4
"0050025",241,1287,10,3,4
"0050026",153,1088,6,0,1
"0050027",21,254,5,0,1
"0050028",135,705,6,3,1
"0050029",132,949,7,1,0
"0050030",63,687,7,0,1
"0050031",58,224,2,1,1
"0050032",5,75,0,0,0
"0050033",61,893,3,2,1
"0050034",466,1085,20,5,6
"0050035",325,985,9,3,5
"0050036",0,0,0,0,0
"0050037",59,304,5,2,1
"0050038",49,241,2,0,0
"0050039",108,233,3,1,0
"0050040",200,332,1,1,0
"005011b",116,631,7,3,0
"005017b",18,285,0,1,0
"0070001",319,1317,12,5,0
"0070002",664,1637,21,5,0
"0070003",843,2406,30,11,0
"0070004",687,2307,28,4,1
"007001a",215,888,3,2,0
"007004a",188,684,9,4,0
"0090001",85,859,7,2,0
"0090002",73,720,7,0,0
"0090003",26,257,2,0,0
"0090004",28,500,1,1,1
"0090005",11,121,2,0,0
"0090006",81,747,11,1,0
"0090007",11,141,1,0,0
"0090008",33,228,5,0,0
"0090009",11,127,1,0,0
"0090010",79,533,8,0,0
"0090011",8,67,0,0,0
"0110101",15,268,0,0,0
"0110201",14,145,1,0,0
"0110202",10,61,0,0,0
"0110301",12,222,0,0,0
"0110303",6,37,0,0,0
"0110401",8,144,0,0,0
"0110402",10,135,1,0,0
"0110404",0,23,0,0,0
"0130001",140,451,3,1,0
"0130002",333,447,6,3,0
"0130003",333,687,9,3,1
"0130004",23,80,0,0,0
"0130005",476,628,4,4,0
"0130006",5,74,1,0,0
"0130007",343,670,9,3,0
"0130008",122,259,4,2,1
"0130009",12,113,2,0,0
"0130010",320,547,8,2,0
"0130011",5,31,0,1,0
"0130012",274,504,7,2,1
"0130013",440,1229,6,5,4
"0130014",79,234,3,2,0
"0130015",485,723,11,7,3
"0130016",67,106,1,0,0
"0130017",614,561,12,3,1
"0130018",339,756,4,2,2
"0130019",75,251,1,0,1
"0130020",622,2106,29,6,2
"0130021",25,147,4,1,0
"0130022",102,416,2,1,0
"0130023",185,265,4,2,0
"0130024",457,754,13,8,0
"0150101",187,751,8,1,0
"0150102",217,808,7,4,0
"0150103",161,974,16,2,0
"0150104",97,512,4,1,0
"0150205",293,1140,16,0,0
"0150206",78,391,3,1,0
"0150207",48,264,2,1,0
"0150208",85,499,4,2,0
"0150209",102,391,1,0,0
"0150210",87,477,0,1,0
"0150211",38,258,2,0,0
"0150312",40,451,4,1,0
"0150313",307,356,9,4,0
"0150314",436,1507,22,10,0
"0150415",257,756,5,1,0
"0150416",216,699,6,1,0
"0150417",136,310,3,0,0
"0150418",166,903,11,3,0
"0170001",114,440,6,0,0
"0170002",101,607,3,0,0
"0170003",104,255,4,1,1
"0170004a",80,113,1,1,0
"0170004b",10,19,0,0,0
"0190101",286,1109,10,4,0
"0190102",397,1684,24,6,0
"0190203",407,1321,17,0,0
"0190204",324,968,10,3,0
"0190305",340,1551,16,9,1
"0190306",142,971,13,1,0
"0190407",328,1506,21,3,2
"0190408",67,165,3,2,0
"0190409",133,441,3,2,0
"0190410",81,341,3,0,0
"0211001",1024,1676,46,5,5
"0211002",917,812,24,4,3
"0211003",1131,1392,27,12,8
"0211004",760,869,25,9,5
"0211022",1049,1502,46,7,11
"0212005",806,1119,16,7,2
"0212006",409,804,15,4,2
"0212007",443,1285,17,6,1
"0212008",244,541,8,5,3
"0212009",370,640,16,3,1
"0212010",338,756,15,6,1
"0212011",758,1202,29,5,8
